char,Line,movie
GANDALF,  No.  No it isn't.     ,The Return of the King 
THEODEN,  Rally to me!  To meeee!      ,The Return of the King 
WITCH KING,     Feast on his flesh.     ,The Return of the King 
EOWYN,     I will kill you if you touch him.     ,The Return of the King 
EOWYN,     The City has fallen silent.  There is no warmth left in the sun.       ,The Return of the King 
EOWYN,  It grows so cold.     ,The Return of the King 
FARAMIR,  It's just the damp of the first spring rain.      ,The Return of the King 
FARAMIR,  I do not believe this darkness will endure.      ,The Return of the King 
SAM,"  Look!  The Orcs, they're moving off!      ",The Return of the King 
SARUMAN,Get down cur! ,The Return of the King 
GRIMA,Ah!  ,The Return of the King 
GANDALF,Saruman! You were deep in the enemy's counsel. Tell us what you know!  ,The Return of the King 
SARUMAN,You withdraw your guard and I will tell you where your doom will be     decided. I will not be held prisoner here!  ,The Return of the King 
GANDALF,Send word to all our allies and to every corner of Middle Earth that     still stands free. The enemy moves against us. We need to know where he will     strike.  ,The Return of the King 
TREEBEARD,"The filth of Saruman is washing away. Trees will come back to live here. ,Young trees. Wild trees.  ",The Return of the King 
ARAGORN,Pippin! ,The Return of the King 
TREEBEARD,Bless my bark!  ,The Return of the King 
GANDALF,Peregrin Took. I'll take that my lad! Quickly now!  ,The Return of the King 
WITCH KING,  Do not come between the Nazg'l and his prey.     ,The Return of the King 
ORC,"  Late as usual, pirate scum. ,  There's knifework here needs doing. Come on you sea rats, get off your ships.      ",The Return of the King 
GIMLI,"  There's plenty for the both of us, may be best Dwarf win!      ",The Return of the King 
WITCH KING,  You fool!  No man can kill me.  Die now!    ,The Return of the King 
EOWYN,  I am no man!      ,The Return of the King 
SAM,  You see Mr Frodo some luck at last!     ,The Return of the King 
ORC,"  Move it, you slugs!      ",The Return of the King 
ORC,  Come on!  Faster!      ,The Return of the King 
ORC,"  Come along you scum! ,  I'll whip you down to the bone!  Come on!  What have I told you.    ,  Get up!    ,  Come on you slugs!  You two are going straight to the front line!  Move it, come on!  Fall in!  Move it! Move it! Move it!      ",The Return of the King 
ORC,"  To the gate you slugs, now move it! ,  Don't you know we're at war?      ",The Return of the King 
ORC,  Company halt!  Inspection!      ,The Return of the King 
FRODO,  Sam!  Help me!      ,The Return of the King 
SAM,  Mr Frodo!      ,The Return of the King 
SAM,  Stand up Mr Frodo.  Stand up!     ,The Return of the King 
FRODO,  It's so heavy!      ,The Return of the King 
SAM,"  Oh no!  What do I do? ,  What do I do?      ",The Return of the King 
FRODO, Hit me!  Hit me Sam!  Start fighting!      ,The Return of the King 
SAM,"  Get off of me! ,  Nobody pushes me you filthy maggot!    ,  Get off of me!      ",The Return of the King 
 GANDALF,      Retreat! The city is breached. Fall back to the second level. Get the     women and children out. Get them out. Retreat.  ,The Return of the King 
SOLDIERS ON GATE,"    Come on, come on!  ",The Return of the King 
GOTHMOG,    Move into the city. Kill all in your path.  ,The Return of the King 
ORC,  Break it up!  Break it up!     ,The Return of the King 
GENERAL,  Oy!  I'll have your guts if you don't shut this rabble down!      ,The Return of the King 
FRODO,     Go Sam.  Now!      ,The Return of the King 
GENERAL,  Move along scum!      ,The Return of the King 
CAPTAIN,  Get back in the line you maggots!  Get back in the line you slugs!      ,The Return of the King 
FRODO,  I can't!  I can't' I can't manage the Ring Sam.  It's' it's' such a weight to carry.  It's such a weight.         ,The Return of the King 
SOLDIER,    Take them down!  ,The Return of the King 
GANDALF,    Fight! Fight to the last man. Fight for your lives.  ,The Return of the King 
PIPPIN,"    Gandalf! ,     Gandalf! Denethor has lost his mind. He's burning Faramir alive!  ",The Return of the King 
GANDALF,    Up! Quickly!  ,The Return of the King 
GANDALF,"    ,     Go back to the abyss! Fall into the nothingness that awaits you and your     master!  ",The Return of the King 
WITCH KING,"    Do you not know death when you see it, old man? , This is my hour!     ",The Return of the King 
PIPPIN,     Gandalf!  ,The Return of the King 
PIPPIN,"    AAAAhhh! ,  ",The Return of the King 
WITCH KING,    You have failed! The world of men will fall.  ,The Return of the King 
SAM,"    ,  We're going that way, straight as we can.  There's no point carrying anything we're not sure to need.      ",The Return of the King 
SAM,"  Mr Frodo, look. ,  There is light and beauty up there that no shadow can touch.      ",The Return of the King 
SAM,"  Take mine. ,  There's a few drops left.      ",The Return of the King 
FRODO,  There will be none left for the return journey.      ,The Return of the King 
SAM,  I don't think there will be a return journey Mr Frodo.      ,The Return of the King 
SAM,"  Frodo, get down! ,  Hide!      ",The Return of the King 
SAM,     Frodo!      ,The Return of the King 
PIPPIN,  Where are they?     ,The Return of the King 
ARAGORN,"  Let the Lord of the Black Land come forth! ,  Let justice be done upon him!      ",The Return of the King 
MOUTH OF SAURON,  My master Sauron the Great bids thee welcome.      ,The Return of the King 
MOUTH OF SAURON, Is there any in this rout with authority to treat with me?     ,The Return of the King 
GANDALF,"  We do not come to treat with Sauron, faithless and accursed.    Tell your master this.  The armies of Mordor must disband.  He is to depart these lands, never to return.      ",The Return of the King 
EOWYN,    Courage Merry. Courage for our friends.  ,The Return of the King 
GOTHMOG,"    Form ranks you maggots. Form ranks. Pikes in front, archers behind.     ",The Return of the King 
THEODEN,"    Eomer, take your Eored down the left flank ",The Return of the King 
EOMER,    Flank ready! ,The Return of the King 
THEODEN,"    Gamling, follow the King's banner down the centre. Grimbold! Take your company right after you pass the wall. Forth and fear no darkness!     , Arise! Arise riders of Theoden. Spears shall be shaken, shields shall be splintered, a sword day, a red day ere the sun rises!! ",The Return of the King 
EOWYN,"    Whatever happens, stay with me. I'll look after you.  ",The Return of the King 
THEODEN,"    Ride now, ride now! Ride! Ride for ruin and the world's ending! DEATH! ",The Return of the King 
ARMY,    DEATH!  ,The Return of the King 
THEODEN,    DEATH!  ,The Return of the King 
ARMY,    DEATH!  ,The Return of the King 
THEODEN,    DEATH!  ,The Return of the King 
THEODEN,    DEATH!  ,The Return of the King 
MOUTH OF SAURON,  Aha!  Old Greybeard!  I have a token I was bidden to show thee.      ,The Return of the King 
PIPPIN,  Frodo!     ,The Return of the King 
PIPPIN,  Frodo!     ,The Return of the King 
GANDALF,  Silence!     ,The Return of the King 
MERRY,  No!      ,The Return of the King 
GANDALF,  Silence!     ,The Return of the King 
MOUTH OF SAURON,"  The Halfling was dear to thee I see.  Know that he suffered greatly at the hands of his host.  Who would've thought one so small could endure so much pain?  And he did Gandalf, he did.      ",The Return of the King 
ARAGORN,    You may go no further.  ,The Return of the King 
ARAGORN,You will not enter Gondor ,The Return of the King 
BOSON,Who are you to deny us passage?  ,The Return of the King 
ARAGORN,"Legolas, fire a warning shot past the boson's ear.  ",The Return of the King 
GIMLI,Mind your aim. ,The Return of the King 
GIMLI,"Oh! , That's     it, right, we warned you! Prepare to be boarded!  ",The Return of the King 
MERCENARY,"Boarded, by you and whose army?  ",The Return of the King 
EOWYN/MERRY,    DEATH!  ,The Return of the King 
THEODEN,    Forth Eorlingas!  ,The Return of the King 
GOTHMOG,    FIRE! ,The Return of the King 
MERRY,    DEEEEAAATH! ,The Return of the King 
THEODEN,    CHAAAAARGE!  ,The Return of the King 
GOTHMOG,    Fire at will!  ,The Return of the King 
DENETHOR,    Set a fire in our flesh!  ,The Return of the King 
GANDALF,    Stay this madness!  ,The Return of the King 
