char,Line,movie
FARAMIR,ls that its name?           ,The Two Towers 
GOLLUM,"No. ,No! , Yes.           ",The Two Towers 
FARAMIR,Frodo......they say a dark terror dwells in the passes above Minas      Morgul. You cannot go that way.           ,The Two Towers 
GOLLUM,"lt is the only way. Master says we must go to Mordor, so we must try.           ",The Two Towers 
FRODO,I must.           ,The Two Towers 
FARAMIR," Go, Frodo. Go with the goodwill of all Men.,     ",The Two Towers 
FRODO,Thank you.           ,The Two Towers 
FARAMIR,May death find you quickly if you bring them to harm.           ,The Two Towers 
SAM,"Come on, keep up.           ",The Two Towers 
SAM,"Mr. Frodo didn't mean for them Rangers to hurt you. You know that, don't you?      He was trying to save you, see?           ",The Two Towers 
GOLLUM,Save me?           ,The Two Towers 
SAM,So there's no hard feelings. Forgive and forget.           ,The Two Towers 
GOLLUM,"No, no, no hard feelings. Gollum, Gollum. ,Yes, master. Nice Hobbits.           ",The Two Towers 
SAM,"Very decent of you. Very decent, indeed      Gollum.    ",The Two Towers 
MADRIL,Faramir! Orcs have taken the eastern shore. Their numbers are too great.      By nightfall we will be overrun.           ,The Two Towers 
SAM,Mr. Frodo?           ,The Two Towers 
FRODO,"It's calling to him, Sam. His Eye is almost on me.            ",The Two Towers 
SAM,"Hold on, Mr. Frodo. You'll be all right.           ",The Two Towers 
FARAMIR,"Take them to my father. ,Tell him Faramir sends a mighty gift.      ,A weapon that will change our fortunes      in this war. ,     ",The Two Towers 
SAM,"Do you want to know      what happened to Boromir? ,You want to know why your brother died?  He tried to take the Ring from Frodo after swearing an oath to protect him! ,He tried to kill him! The Ring drove your brother mad!           ",The Two Towers 
SOLDIER,Watch out!           ,The Two Towers 
SAM,Mr. Frodo?           ,The Two Towers 
FRODO,They're here.           ,The Two Towers 
FRODO,They've come.           ,The Two Towers 
FARAMIR,Nazgul!             ,The Two Towers 
FARAMIR,"Stay here. Keep out of sight. ,Take cover!           ",The Two Towers 
THEODEN,"The fortress is taken. It is over.,     ",The Two Towers 
ARAGORN,You said this fortress would never fall while your men defend it.      They still defend it. They have died defending it.           ,The Two Towers 
WOMAN,They are breaking in!           ,The Two Towers 
WOMAN,They're past the door!           ,The Two Towers 
ARAGORN,Is there no other way for the women      and children to get out of the caves?     ,The Two Towers 
ARAGORN,Is there no other way?           ,The Two Towers 
GAMLING,There is one passage. It leads into the mountains. But they will not get far.      The Uruk-hai are too many.           ,The Two Towers 
ARAGORN, Tell the women and children      to make for the mountain pass. And barricade the entrance!           ,The Two Towers 
THEODEN,"Aragorn! Fall back to the Keep! Get your men out of there!,     ",The Two Towers 
ARAGORN,"Nan Barad! Nan Barad! , Haldir, nan Barad! (",The Two Towers 
GIMLI,What are you doing? What are you stopping for?       ,The Two Towers 
HALDIR,Nan Barad! (To the Keep!)       ,The Two Towers 
ARAGORN,Haldir!       ,The Two Towers 
THEODEN,"So much death. ,  What can Men do against such reckless hate?           ",The Two Towers 
ARAGORN,"Ride out with me. ,Ride out and meet them.,     ",The Two Towers 
THEODEN,For death and glory.           ,The Two Towers 
ARAGORN,For Rohan. For your people.           ,The Two Towers 
GIMLI,The sun is rising.           ,The Two Towers 
GANDALF VOICEOVER,Look to my coming at first light on the fifth day. At dawn......Iook to the east.           ,The Two Towers 
THEODEN,Yes.........Yes.........The horn of Helm Hammerhand......shall sound in the Deep......one last time.           ,The Two Towers 
GIMLI,"Yes!,     ",The Two Towers 
THEODEN,"Let this be the hour      when we draw swords together. ,     ",The Two Towers 
THEODEN,"Fell deeds, awake. Now for wrath......now for ruin and a red dawn.,     ",The Two Towers 
THEODEN,"Forth Eorlingas!,     ",The Two Towers 
ARAGORN,Gandalf.           ,The Two Towers 
GANDALF," Theoden King stands alone.,            ",The Two Towers 
SOLDIER,Brace the gate!       ,The Two Towers 
SOLDIER,Hold them!       ,The Two Towers 
THEODEN,To the gate. Draw your swords!       ,The Two Towers 
GAMLING,"Make way! ( ,We cannot hold much longer!       ",The Two Towers 
THEODEN,Hold them!       ,The Two Towers 
ARAGORN,How long do you need?       ,The Two Towers 
THEODEN,As long as you can give me.       ,The Two Towers 
ARAGORN,Gimli!       ,The Two Towers 
THEODEN,Timbers! Brace the gate!       ,The Two Towers 
GIMLI,Come on. We can take them.        ,The Two Towers 
ARAGORN,It's a long way.       ,The Two Towers 
GIMLI,Toss me.       ,The Two Towers 
EOMER,"Not alone. , Rohirrim!           ",The Two Towers 
THEODEN,"Eomer.,     ",The Two Towers 
EOMER,To the king!           ,The Two Towers 
PIPPIN,Yes!           ,The Two Towers 
TREEBEARD,A hit. A fine hit.           ,The Two Towers 
TREEBEARD,Break the dam!  Release the river!           ,The Two Towers 
MERRY,Pippin! Hold on!           ,The Two Towers 
TREEBEARD,"Hold on, little Hobbits.           ",The Two Towers 
SAM,What are you doing?            ,The Two Towers 
SAM,Where are you going?           ,The Two Towers 
SAM,It's me. It's your Sam. Don't you know your Sam?           ,The Two Towers 
ARAGORN,What?       ,The Two Towers 
GIMLI,I cannot jump the distance! You'll have to toss me!       ,The Two Towers 
GIMLI, Don't tell the Elf.       ,The Two Towers 
ARAGORN,Not a word. ,The Two Towers 
THEODEN,Shore up the door!       ,The Two Towers 
SOLDIER,Make way!       ,The Two Towers 
SOLDIER,Follow me to the barricade.       ,The Two Towers 
SOLDIER,Watch our backs!       ,The Two Towers 
SOLDIER,Throw another one over here!    ,The Two Towers 
THEODEN,Higher!       ,The Two Towers 
SOLDIER,Hold fast the gate!       ,The Two Towers 
THEODEN, Gimli! Aragorn! Get out of there!         ,The Two Towers 
LEGOLAS,Aragorn!       ,The Two Towers 
THEODEN,Pull everybody back. Pull them back.       ,The Two Towers 
GAMLING,Fall back! Fall back!       ,The Two Towers 
FRODO,"I can't do this, Sam.           ",The Two Towers 
SAM,"I know. It's all wrong.      ,By rights, we shouldn't even be here.      But we are. It's like in the great stories, Mr. Frodo. The ones that really mattered.      ,Full of darkness and danger they were.      And sometimes you didn't want to know the end.....because how could the end be happy?       How could the world go back      to the way it was...... when so much bad had happened?           ",The Two Towers 
THEODEN,Victory! We have victory!           ,The Two Towers 
SAM VOICEOVER,"But in the end, it's only a passing thing...... this shadow. Even darkness must pass.      A new day will come. And when the sun shines, it will shine out the clearer.      Those were the stories      that stayed with you......that meant something. Even if you were too small      to understand why. But I think, Mr. Frodo, I do understand. I know now.           ",The Two Towers 
SAM,"Folk in those stories......had lots of chances of turning back, only they didn't.      They kept going......because they were holding on to something.    ",The Two Towers 
FRODO,"What are we holding on to, Sam?           ",The Two Towers 
SAM,"That there's some good in this world, Mr. Frodo. And it's worth fighting for.           ",The Two Towers 
FARAMIR,"I think at last we understand one another, Frodo Baggins. ,     ",The Two Towers 
MADRIL,"You know the laws of our country, the laws of your father. If you let them go      your life will be forfeit.           ",The Two Towers 
FARAMIR,"Then it is forfeit. Release them.,     ",The Two Towers 
THEODEN,They have broken through! The castle is breached. Retreat!       ,The Two Towers 
GAMLING,Fall back!       ,The Two Towers 
THEODEN,Retreat!        ,The Two Towers 
ARAGORN,Hurry! Inside. Get them inside!       ,The Two Towers 
GAMLING,Into the Keep!       ,The Two Towers 
TREEBEARD,I will leave you at the western borders of the forest. You can make your way north      to your homeland from there.       ,The Two Towers 
PIPPIN,Wait! Stop! Stop! Turn around. Turn around. Take us south.       ,The Two Towers 
TREEBEARD,South? But that will lead you past lsengard.       ,The Two Towers 
PIPPIN,"Yes. Exactly.,If we go south, we can slip      past Saruman unnoticed. The closer we are to danger, the farther we are from harm.      It's the last thing he'll expect.       ",The Two Towers 
TREEBEARD,"That doesn't make sense to me.      But then......you are very small. ,Perhaps you're right. South it is, then.      Hold on, little Shirelings. ,I always like going south. Somehow it feels like going downhill.,     ",The Two Towers 
MERRY, Are you mad? We'll be caught.       ,The Two Towers 
PIPPIN,"No, we won't. Not this time.       ",The Two Towers 
SOLDIER,Look! Osgiliath burns!       ,The Two Towers 
SOLDIER,Mordor has come.       ,The Two Towers 
FRODO,"The Ring will not save Gondor.      , It has only the power to destroy.      Please......Iet me go.        ",The Two Towers 
FARAMIR,Hurry.       ,The Two Towers 
FRODO,Faramir! You must let me go!       ,The Two Towers 
TREEBEARD,"And those little family of field mice......that climb up sometimes, and they tickle me awfully.        ",The Two Towers 
TREEBEARD,They're always trying to get somewhere where they....       ,The Two Towers 
TREEBEARD,Many of these trees were my friends. Creatures I had known from nut and acorn.       ,The Two Towers 
PIPPIN,"I'm sorry, Treebeard.       ",The Two Towers 
TREEBEARD,They had voices of their own.       ,The Two Towers 
TREEBEARD,Saruman. A wizard should know better!      ,The Two Towers 
TREEBEARD,There is no curse in Elvish......Entish or the tongues of Men......for this treachery.       ,The Two Towers 
GIMLI,"You could have picked a better spot.,     ",The Two Towers 
GIMLI,"Well, lad, whatever luck you live by, let's hope it lasts the night.       ",The Two Towers 
LEGOLAS,"Your friends are with you, Aragorn.       ",The Two Towers 
GIMLI,Let's hope they last the night.       ,The Two Towers 
ARAGORN," A      Eruch'n, '-dano i faelas a hyn an uben tanatha le faelas! ,     ",The Two Towers 
GIMLI,What's happening out there?       ,The Two Towers 
LEGOLAS,Shall I describe it to you? Or would you like me to find you a box?        ,The Two Towers 
PIPPIN,Look! The trees! They're moving!       ,The Two Towers 
MERRY,Where are they going?       ,The Two Towers 
TREEBEARD,They have business with the Orcs. My business is with lsengard tonight......with rock and stone.       ,The Two Towers 
MERRY,Yes!       ,The Two Towers 
TREEBEARD,"Come, my friends. The Ents are going to war. It is likely......that we go to our doom.      Last march......of the Ents.       ",The Two Towers 
THEODEN,So it begins.       ,The Two Towers 
ARAGORN,Tangado a chadad! ,The Two Towers 
LEGOLAS, Faeg i-varv d'n na lanc a      nu ranc. ,The Two Towers 
ARAGORN,Leithio i philinn! ,The Two Towers 
GIMLI,"Did they hit anything?,     ",The Two Towers 
THEODEN,Give them a volley.       ,The Two Towers 
GAMLING,Fire!       ,The Two Towers 
OLD MAN,Fire!       ,The Two Towers 
ARAGORN,Ribed bant! ,The Two Towers 
GIMLI,"Send them to me! Come on!,     ",The Two Towers 
ARAGORN,"Pendraith! ,     ",The Two Towers 
GIMLI,Good!       ,The Two Towers 
ARAGORN,Swords! Swords! ,The Two Towers 
GIMLI,Legolas! Two already!       ,The Two Towers 
LEGOLAS,I'm on 17!       ,The Two Towers 
GIMLI, I'll have no pointy-ear outscoring me!      ,The Two Towers 
LEGOLAS,Nineteen!       ,The Two Towers 
PIPPIN,Merry.       ,The Two Towers 
TREEBEARD,"We have just agreed.,     ",The Two Towers 
MERRY,Yes?       ,The Two Towers 
TREEBEARD,"I have told your names to the Entmoot......and we have agreed......you are not      Orcs.,     ",The Two Towers 
PIPPIN,"Well, that's good news. ",The Two Towers 
MERRY,And what about Saruman? Have you come to a decision about him?       ,The Two Towers 
TREEBEARD,"Now, don't be hasty, Master Meriadoc.       ",The Two Towers 
MERRY,"Hasty? Our friends are out there. ,They need our help. They cannot fight this war on their own.       ",The Two Towers 
TREEBEARD,"War? Yes. It affects us all. Tree, root and twig.      But you must understand, young Hobbit......it takes a long time......to say anything in Old      Entish... ,...and we never say anything......unless it is worth taking......a long time to say.,     ",The Two Towers 
GIMLI,Seventeen! Eighteen! Nineteen! Twenty! Twenty-one!       ,The Two Towers 
ARAGORN,Causeway!       ,The Two Towers 
THEODEN,Is this it? Is this is all you can conjure      Saruman?       ,The Two Towers 
ARAGORN,"Togo hon dad, Legolas! , ",The Two Towers 
ARAGORN,Dago hon! Dago hon! ,The Two Towers 
THEODEN,Brace the gate!       ,The Two Towers 
THEODEN,Hold them! Stand firm!       ,The Two Towers 
GIMLI,Aragorn!       ,The Two Towers 
ARAGORN,Gimli!       ,The Two Towers 
ARAGORN,Hado i philinn! ,The Two Towers 
ARAGORN,Herio! ,The Two Towers 
TREEBEARD,"The Ents cannot hold back this storm. We must weather such things as we have always done.,     ",The Two Towers 
MERRY,How can that be your decision?!        ,The Two Towers 
TREEBEARD,"This is not our war.,     ",The Two Towers 
MERRY," But you're part of this world!      Aren't you?!,     ",The Two Towers 
MERRY,You must help. Please. You must do something.       ,The Two Towers 
TREEBEARD,"You are young and brave, Master Merry. But your part in this tale is over.      Go back to your home.,     ",The Two Towers 
PIPPIN,"Maybe Treebeard's right. We don't belong here, Merry. It's too big for us.      What can we do in the end? We've got the Shire. Maybe we should go home.,     ",The Two Towers 
MERRY,"The fires of lsengard will spread......and the woods of Tuckborough and Buckland will burn.      And.... ,And all that was once green and good      in this world will be gone. There won't be a Shire, Pippin.       ",The Two Towers 
SOLDIER,Boromir! Boromir! ,The Two Towers 
BOROMIR,"This city was once the jewel of our kingdom. A place of light and beauty     and music. And so it shall be once more! ,Let the armies of Mordor know this:     Never again will the land of my people fall into enemy hands.    ,This city of Osgiliath has been     reclaimed ,for     Gondor! ",The Two Towers 
CROWD,For Gondor!  ,The Two Towers 
BOROMIR,For Gondor! ,The Two Towers 
CROWD,For Gondor! ,The Two Towers 
BOROMIR,For Gondor! ,The Two Towers 
FARAMIR,Good speech. Nice and short. ,The Two Towers 
BOROMIR,Leaves more time for drinking!     Break out the ale! These men are thirsty!     ,The Two Towers 
BOROMIR,"Remember today, little brother. Today, life is good. ",The Two Towers 
BOROMIR,What? ,The Two Towers 
FARAMIR,He's here. ,The Two Towers 
BOROMIR," One moment of peace, can he not give us that? ",The Two Towers 
DENETHOR,Where is he? Where is Gondor's finest? Where's my first-born? ,The Two Towers 
BOROMIR,    Father! ,The Two Towers 
DENETHOR,They say you vanquished the enemy almost single-handedly. ,The Two Towers 
BOROMIR,They exaggerate. The victory belongs to Faramir also.  ,The Two Towers 
DENETHOR,"But for Faramir, this city would still be standing. ",The Two Towers 
DENETHOR,Were you not entrusted to protect it? ,The Two Towers 
FARAMIR,"I would have done, but our numbers were too few. ",The Two Towers 
DENETHOR,"Oh, too few. You let the enemy walk in and take it on a whim. Always you     cast a poor reflection on me. ",The Two Towers 
FARAMIR,That is not my intent. ,The Two Towers 
BOROMIR,"You give him no credit, and yet he tries to do your will. ",The Two Towers 
BOROMIR,"He loves you, Father. ",The Two Towers 
DENETHOR,"Do not trouble me with Faramir......I know his uses, and they are few.     We have more urgent things to speak of. Elrond of Rivendell has called a     meeting. He will not say why, but I have guessed its purpose. It is rumored     that the weapon of the enemy has been found.   ",The Two Towers 
BOROMIR,The One Ring. lsildur's     Bane. ,The Two Towers 
DENETHOR,"lt has fallen into the hands of     the Elves. Everyone will try to claim it: Men, Dwarves, wizards. We cannot     let that happen. This thing must come to Gondor. ",The Two Towers 
BOROMIR, Gondor. ,The Two Towers 
DENETHOR," It's dangerous,     I know. Ever the Ring will seek to corrupt the hearts of lesser Men. But     you, you are strong.    And our need is great. It is our blood which is being spilled, our people     who are dying. Sauron is biding his time. He's massing fresh armies. He will     return. And when he does, we will be powerless to stop him. You must go.    ,Bring me back this     mighty gift    .",The Two Towers 
BOROMIR,"No. My place is here with     my people. ,Not in Rivendell. ",The Two Towers 
DENETHOR,Would you deny your own father? ,The Two Towers 
FARAMIR,lf there is need to go to Rivendell......send me in his stead. ,The Two Towers 
DENETHOR,"You? Oh, I see. A chance for Faramir, captain of Gondor, to show his     quality. I think not. ,I trust this mission only to your brother. The one who will not     fail me. ",The Two Towers 
BOROMIR,"Remember today, little brother.  ",The Two Towers 
SOLDIER,"Captain Faramir! ,We     found the third one. ",The Two Towers 
FARAMIR,You must come with me. Now.  ,The Two Towers 
FARAMIR, Down there. ,The Two Towers 
FARAMIR,"To enter the Forbidden Pool bears the penalty of death.    ,They wait for my command. Shall I     shoot? ",The Two Towers 
GOLLUM,The rock and pool    Is nice and cool    So juicy sweet    Our only wish    To catch a fish    So juicy sweet ,The Two Towers 
FRODO,Wait. This creature is bound to me. And I to him. He is our guide.     Please......Iet me go down to him. ,The Two Towers 
FRODO,"Smeagol. , Master is here.     Come, Smeagol. Trust master. Come. ",The Two Towers 
GOLLUM, We must go now? ,The Two Towers 
FRODO,"Smeagol, you must trust master. Follow me. Come on. Come. Come, Smeagol.     Nice Smeagol. That's it. Come on. ",The Two Towers 
FRODO,"Don't hurt him! ,Smeagol, don't struggle. Smeagol, listen     to me. ",The Two Towers 
ARWEN,May the grace of the Valarprotect you.  ,The Two Towers 
ARAGORN,Brego. ,The Two Towers 
ELROND,"Arwen. ,Tollen i l'. I chair gwannar     na Valannor. Si bado, no c'rar. ",The Two Towers 
ARWEN,I have made my choice. ,The Two Towers 
ELROND,He is not coming back.Why do you linger herewhen there is no hope? ,The Two Towers 
GOLLUM,Master! ,The Two Towers 
FARAMIR,"That's enough. ,Where     are you leading them? ,Answer me. ",The Two Towers 
GOLLUM,"    Smeagol. Why does it cry, Smeagol? ",The Two Towers 
SMEAGOL, Cruel Men hurts us. Master     tricksed us. ,The Two Towers 
GOLLUM,Of course he did. I told you he was tricksy. I told you he was false. ,The Two Towers 
SMEAGOL,Master is our friend. Our friend. ,The Two Towers 
GOLLUM,Master betrayed us.  ,The Two Towers 
SMEAGOL,No. Not its business. Leave us alone! ,The Two Towers 
GOLLUM,Filthy little     Hobbitses! They stole it from us! ,The Two Towers 
ARWEN,There is still hope. ,The Two Towers 
ELROND,If Aragorn survives this waryou will still be parted.If Sauron is defeatedand Aragorn made king......and all that you hope forcomes true......you will still have to tastethe bitterness of mortality. ,The Two Towers 
ELROND VOICEOVER,Whether by the swordor the slow decay of time......Aragorn will die.And there will be no comfortfor you......no comfort to ease the painof his passing.He will come to death......an image of the splendorof the kings of Men......in glory undimmed beforethe breaking of the world.,The Two Towers 
ELROND VOICEOVER,"But you, my daughter......you will linger on in darknessand in doubt......as nightfall in winterthat comes without a star.Here you will dwell......bound to your griefunder the fading trees...... until all the world is changed......and the long years of your lifeare utterly spent. ",The Two Towers 
ELROND,"Arwen.,There is nothing for you here......only death. ",The Two Towers 
ELROND,"A im, '-'erin veleth l'n? ",The Two Towers 
ARWEN,"Gerich veleth n'n, ada. ",The Two Towers 
GALADRIEL,"I amar prestar aen... han mathon ne nen, han mathon ne chae a han noston     ned 'wilith.                     ",The Two Towers 
FARAMIR,What news? ,The Two Towers 
MADRIL,"Our scouts report Saruman has attacked Rohan. , Theoden's people have fled     to Helm's Deep. But we must look to our own borders. Faramir, Orcs are on     the move. Sauron is marshaling an army. Easterlings and Southrons are at the     Black Gate. ",The Two Towers 
FARAMIR,How many? ,The Two Towers 
MADRIL,Some thousands. More come every day. ,The Two Towers 
FARAMIR,Who's covering the river to the north? ,The Two Towers 
MADRIL,"We pulled 500 men at Osgiliath. If their city is attacked, we won't hold     it. ",The Two Towers 
SMEAGOL,No. No. ,The Two Towers 
FARAMIR,What did they steal? ,The Two Towers 
GOLLUM,     My precious!  ,The Two Towers 
SAM,"We have to get out of here.     You go. Go, now. You can do it. Use the Ring, Mr. Frodo. Just this once. Put     it on. Disappear. ",The Two Towers 
FRODO," I can't. You were right, Sam. You tried to tell me but....,I'm sorry. The Ring's taking me, Sam. If I put it     on......he'll find me. He'll see. ",The Two Towers 
SAM,Mr.     Frodo.... ,The Two Towers 
FARAMIR,"So this is the answer to all the riddles. ,Here in the     Wild I have you......two Halflings......and a host of men at my call.,The Ring of Power within my     grasp.,A chance for Faramir, captain of Gondor......to     show his quality. ",The Two Towers 
FRODO, No!  ,The Two Towers 
SAM,"Stop it! Leave him alone. ,Don't you understand? He's got to destroy     it! That's where we're going, into Mordor. To the Mountain of Fire!  ",The Two Towers 
SOLDIER,Osgiliath is under attack. They call for reinforcements. ,The Two Towers 
SAM, Please. It's such a burden.     Will you not help him? ,The Two Towers 
SOLDIER,Captain? ,The Two Towers 
FARAMIR," Prepare to leave.    ,The Ring will go to Gondor.    ",The Two Towers 
ARAGORN," Mae carnen, Brego,     mellon n'n. ",The Two Towers 
FARAMIR,    Saruman attacks from lsengard. Sauron from Mordor. The fight will come to     Men on both fronts. Gondor is weak. Sauron will strike us soon. And he will     strike hard. He knows now we do not have the strength to repel him. ,The Two Towers 
FARAMIR,My men tell me that you are Orc spies. ,The Two Towers 
SAM,Spies? Now wait just a minute. ,The Two Towers 
FARAMIR,"Well, if you're not spies, then who are you? ",The Two Towers 
FARAMIR,Speak. ,The Two Towers 
FRODO,"We are Hobbits of the Shire. Frodo Baggins is my name, and this is     Samwise Gamgee. ",The Two Towers 
FARAMIR,Your bodyguard? ,The Two Towers 
SAM,His gardener. ,The Two Towers 
FARAMIR,And where is your skulking friend? That gangrel creature. He had an ill-favored     look. ,The Two Towers 
FRODO,"There was no other.    ,We set out from Rivendell with seven companions. One we lost in Moria......two     were my kin......a Dwarf there was also. And an Elf and two Men. Aragorn,     son of Arathorn, and Boromir of Gondor. ",The Two Towers 
FARAMIR, You're a friend of Boromir? ,The Two Towers 
FRODO,Yes.  For my part. ,The Two Towers 
WOMAN,He's alive! ,The Two Towers 
GIMLI,"Where is he? Where is he?,Get out of the     way! I'm going to kill him!,You are the luckiest, the canniest    ,.....and the most reckless man     I ever knew. Bless you, laddie. ",The Two Towers 
ARAGORN,"Gimli, where is the king?  ",The Two Towers 
LEGOLAS,"Le abdollen. ,You look terrible.    ",The Two Towers 
ARAGORN,Hannon le. ,The Two Towers 
THEODEN,"A great host, you say? ",The Two Towers 
ARAGORN,All lsengard is emptied. ,The Two Towers 
THEODEN,How many? ,The Two Towers 
ARAGORN,Ten thousand strong at least. ,The Two Towers 
THEODEN,     Ten thousand? ,The Two Towers 
ARAGORN,It is an army bred for a single purpose: To destroy the world of Men.     They will be here by nightfall. ,The Two Towers 
THEODEN,Let them come! ,The Two Towers 
THEODEN,I want every man and strong     lad able to bear arms......to be ready for battle by nightfall.    ,The Two Towers 
THEODEN,We will cover the causeway and the gate from above. No army has ever     breached the Deeping Wall......or set foot inside the Hornburg! ,The Two Towers 
FARAMIR,It will grieve you then to     learn that he is dead. ,The Two Towers 
FRODO,Dead? How? When? ,The Two Towers 
FARAMIR,"As one of his companions, I'd hoped you would tell me. ",The Two Towers 
FRODO,"If something has happened to Boromir, we would have you tell us. ",The Two Towers 
FARAMIR,"His horn washed up upon the riverbank, about six days past. It was     cloven in two. But more than this, I know it in my heart.    ,He was my brother. ",The Two Towers 
GIMLI,This is no rabble of mindless Orcs. These are Uruk-hai. Their armour is     thick and their shields broad. ,The Two Towers 
THEODEN,"I have fought many wars, Master Dwarf. I know how to defend my own keep. ",The Two Towers 
THEODEN,"They will break upon this fortress like water on rock.    ,Saruman's     hordes will pillage and burn.    We've seen it before. Crops can be resown......homes rebuilt. Within these     walls......we will outlast them. ",The Two Towers 
ARAGORN,They do not come to destroy Rohan's crops or villages. They come to     destroy its people......down to the last child. ,The Two Towers 
THEODEN,"What would you have me do? Look at my men. Their courage hangs by a     thread. If this is to be our end, then I would have them make such an     end......as to be worthy of remembrance. ",The Two Towers 
ARAGORN,"Send out riders, my lord. You must call for aid.  ",The Two Towers 
THEODEN,And who will come? Elves? Dwarves? We are not so lucky in our friends as     you. The old alliances are dead. ,The Two Towers 
ARAGORN,Gondor will answer. ,The Two Towers 
THEODEN,"(    Gondor?! Where was Gondor when the Westfold fell?! Where was Gondor when our     enemies closed in around us?! Where was Gon--? ,No, my Lord     Aragorn......we are alone. ,Get the women and children     into the caves. ",The Two Towers 
GAMLING,We need more time to lay provisions-- ,The Two Towers 
ARWEN VOICEOVER,The light of the Evenstardoes not wax and wane.It is mine to give to whom I will.Like my heart.Go to sleep. ,The Two Towers 
ARAGORN ,"I am asleep.,This is a dream. ",The Two Towers 
ARWEN,"Then it is a good dream. ,Sleep. ",The Two Towers 
ARAGORN,Minl' pendich nin i aur     hen telitha. ,The Two Towers 
GOLLUM,We wants it.We needs it.Must have the precious.They stole it from us.Sneaky little Hobbitses.Wicked. Tricksy. False. ,The Two Towers 
SMEAGOL,No. Not master.  ,The Two Towers 
GOLLUM,"Yes, precious. False.They will cheat you, hurt you, lie!  ",The Two Towers 
SMEAGOL,Master's my friend. ,The Two Towers 
GOLLUM,You don't have any friends.Nobody likes you. ,The Two Towers 
SMEAGOL,Not listening. I'm not listening. ,The Two Towers 
GOLLUM,You're a liar and a thief.  ,The Two Towers 
SMEAGOL,No. ,The Two Towers 
THEODEN,There is no time. War is upon us. Secure the gate. ,The Two Towers 
TREEBEARD,"We Ents have not troubled......about the wars of Men and     wizards......for a very long time. But now, something is about to     happen......that has not happened......for an age.,Entmoot. ",The Two Towers 
MERRY,What's that? ,The Two Towers 
TREEBEARD,'Tis a gathering. ,The Two Towers 
MERRY,A     gathering of what? ,The Two Towers 
TREEBEARD,"Beech. Oak. Chestnut. Ash. Good. Good. Good. Many have come.,Now we must decide if the Ents......will     go to war. ",The Two Towers 
ARWEN,' i vethed... n' i onnad. Boe bedich go Frodo. Han b'd l'n. ,The Two Towers 
ARAGORN,Dolen i v'd o nin. ,The Two Towers 
ARWEN,Si peliannen i v'd na dail l'n. Si boe '-dhannathach. ,The Two Towers 
ARAGORN,Arwen.... ,The Two Towers 
ARWEN,Ae '-esteliach nad...     estelio han. Estelio ammen. ,The Two Towers 
EOWYN,Where is she?The woman who gave you that jewel. ,The Two Towers 
ELROND,Our time here is ending.Arwen's time is ending.Let her go.Let her take the ship into the west.Let her bear away her love for youto the Undying Lands.There it will be ever green. ,The Two Towers 
ARAGORN,But never more than memory. ,The Two Towers 
ELROND,I will not leave my daughter hereto die. ,The Two Towers 
ARAGORN,She stays because she still has hope. ,The Two Towers 
ELROND,She stays for you.She belongs with her people. ,The Two Towers 
ARWEN,Nach gwannatha sin? ,The Two Towers 
ARWEN,Ma nathach hi gwannathach or minuial archened?  ,The Two Towers 
GOLLUM,Murderer. ,The Two Towers 
SMEAGOL,Go away. ,The Two Towers 
GOLLUM,Go away? ,The Two Towers 
SMEAGOL,I hate you.I hate you. ,The Two Towers 
GOLLUM,Where would you be without me?Gollum. Gollum.I saved us.It was me. We survived because of me. ,The Two Towers 
SMEAGOL,Not anymore. ,The Two Towers 
GOLLUM,What did you say? ,The Two Towers 
SMEAGOL,Master looks after us now.We don't need you. ,The Two Towers 
GOLLUM,What? ,The Two Towers 
SMEAGOL,Leave now......and never come back. ,The Two Towers 
GOLLUM,No. ,The Two Towers 
SMEAGOL,Leave now and never come back.  ,The Two Towers 
SMEAGOL,Leave now and never come back! ,The Two Towers 
SARUMAN,Gandalf the White.Gandalf the Fool!Does he seek to humble mewith his newfound piety? ,The Two Towers 
GRIMA,"There were threewho followed the wizard.An Elf, a Dwarf and a Man. ",The Two Towers 
SARUMAN,You stink of horse.The Man......was he from Gondor? ,The Two Towers 
GRIMA,"No, from the North.One of the Dunedain RangersI thought he was.His cloth was poor.And yet he bore a strange ringTwo serpents with emerald eyes.. One devouringthe other crowned with golden flowers. ",The Two Towers 
SARUMAN,"The Ring of Barahir.So Gandalf Greyhamethinks he has found lsildur's heir.The lost king of Gondor.He is a fool.The line was broken years ago. ,It matters not.The world of Men shall fall.It will begin at Edoras. ",The Two Towers 
THEODEN,"I am ready, Gamling.Bring my horse. ",The Two Towers 
THEODEN,"This is not a defeat. We will return.,We will return. ",The Two Towers 
ARAGORN,'-ethelithon. ,The Two Towers 
ARWEN, Estelio guru l'n ne dagor.     Ethelithach. ,The Two Towers 
ARAGORN,'-bedin o gurth ne dagor. ,The Two Towers 
ARWEN, O man pedich?    ,The Two Towers 
ARAGORN,"Edra le men, men na guil edwen. Haer o auth a n'r a naeth. ",The Two Towers 
ARWEN,Why are you saying this? ,The Two Towers 
ARAGORN,"I am mortal. You are Elf-kind.It was a dream, Arwen.Nothing more. ",The Two Towers 
ARWEN,I don't believe you.  ,The Two Towers 
ARAGORN,This belongs to you. ,The Two Towers 
ARWEN,It was a gift.Keep it. ,The Two Towers 
EOWYN,My lord? ,The Two Towers 
ARAGORN,She is sailing to the Undying Landswith all that is left of her kin. ,The Two Towers 
GAMLING,What is it? Hama? ,The Two Towers 
